Route 1,Route 2,Difference Raw,Difference Score
harv4,evan1,-0.003973,0.003973
cnee1,elli3,0.004018,0.004018
gray8,humb2,0.004019,0.004019
blan1,cast2,0.00403,0.00403
kitc6,gray6,-0.004045,0.004045
mwil2,bier1,-0.004056,0.004056
huro1,kilp0,0.004109,0.004109
came1,pike1,-0.00425,0.00425
gray8,gray1,-0.004261,0.004261
bros1,lind3,0.004264,0.004264
lapl1,came1,-0.004273,0.004273
lind3,belf1,-0.004275,0.004275
cast3,snow2,-0.004297,0.004297
elli2,elbe3,-0.004302,0.004302
cast3,linc3,-0.004311,0.004311
evan3,kitc3,-0.00433,0.00433
chal5,humb1,-0.004332,0.004332
prin1,demo1,-0.004333,0.004333
chib1,lind1,-0.004349,0.004349
evan1,nava0,0.004389,0.004389
cnee1,gray1,-0.004396,0.004396
neol4,eldi3,0.004415,0.004415
demo2,hand2,-0.004428,0.004428
cnee1,neol4,0.004454,0.004454
came1,chal1,-0.004476,0.004476
mass2,hand2,0.004484,0.004484
ante1,chib1,0.004501,0.004501
bier3,will0,0.004503,0.004503
cnee3,shav1,-0.004524,0.004524
colu6,quan2,-0.004544,0.004544
belf1,kitc2,0.004548,0.004548
chal5,cast2,-0.004562,0.004562
lind2,elbe4,-0.004575,0.004575
lind1,bier1,0.004581,0.004581
gray8,hand1,-0.004596,0.004596
long1,demo1,-0.004601,0.004601
belf1,sher1,-0.004637,0.004637
evan4,bier4,0.004646,0.004646
miss3,cnee1,0.004654,0.004654
bros2,cast4,0.004666,0.004666
snef2,bros5,0.004667,0.004667
harv4,gray3,-0.00467,0.00467
hand1,gray6,-0.004697,0.004697
elli3,mwil5,-0.004706,0.004706
eldi3,linc1,-0.004707,0.004707
cast4,lind3,-0.004745,0.004745
humb1,cnee1,-0.004763,0.004763
humb1,lapl4,0.004791,0.004791
holy1,chal1,0.004819,0.004819
ante1,kitc3,-0.004821,0.004821
bier1,chal1,0.004833,0.004833
conu5,hand1,-0.004836,0.004836
belf1,demo1,-0.004863,0.004863
quan1,bros5,0.004883,0.004883
snef2,belf8,-0.004899,0.004899
sunl2,capi1,-0.004918,0.004918
elli3,belf1,0.004919,0.004919
cast4,snef2,-0.004926,0.004926
came1,hand3,0.004935,0.004935
cast1,mass2,0.004941,0.004941
elbe4,long1,-0.004954,0.004954
kitc3,conu5,0.004973,0.004973
elbe2,mass3,-0.005,0.005
quan1,conu5,-0.005008,0.005008
colu2,colu6,-0.00503,0.00503
conu5,bros2,-0.005066,0.005066
gray8,came1,0.005082,0.005082
conu1,lind2,-0.005085,0.005085
cnee3,cast4,0.005101,0.005101
cast1,bros2,0.005132,0.005132
mass3,bros3,0.00514,0.00514
mass1,elbe2,-0.005184,0.005184
demo1,kitc3,0.005238,0.005238
bier3,hand2,-0.005269,0.005269
lapl1,humb2,0.005282,0.005282
eolu3,harv1,-0.005292,0.005292
bros5,mwil5,0.005309,0.005309
cast1,colu6,0.005314,0.005314
cnee1,lind2,-0.005325,0.005325
huro2,gray3,0.005335,0.005335
mwil6,demo2,-0.005379,0.005379
colu2,mwil5,0.005387,0.005387
bros3,gray6,0.005403,0.005403
gray3,huro2,-0.005435,0.005435
eolu3,humb2,0.005441,0.005441
chal1,capi1,-0.00547,0.00547
gray8,huro2,0.005518,0.005518
hand1,elbe1,-0.005524,0.005524
bros2,belf8,0.005567,0.005567
harv4,hand3,-0.005595,0.005595
hand2,gray8,-0.005598,0.005598
gray6,como0,0.005606,0.005606
belf1,shav4,0.005626,0.005626
gray1,hand1,0.005654,0.005654
cnee1,maro1,-0.00566,0.00566
cast3,gray8,0.005684,0.005684
chal1,kilp0,-0.005725,0.005725
colu6,huro2,-0.005761,0.005761
hand2,colu6,0.005776,0.005776
quan1,blan1,0.005808,0.005808
lapl1,bros1,-0.005811,0.005811
litt6,bier4,0.005814,0.005814
capi1,quan1,-0.005914,0.005914
suns3,capi1,-0.005936,0.005936
nava0,como0,0.00595,0.00595
came1,oxfo2,0.006013,0.006013
bros3,lapl4,-0.006036,0.006036
elbe1,quan1,0.006065,0.006065
chib1,prin1,-0.00608,0.00608
pike1,colu2,0.006092,0.006092
conu5,humb3,0.006144,0.006144
conu5,redc1,0.006159,0.006159
gray6,huro1,-0.006204,0.006204
sanl1,colu6,0.00621,0.00621
bier3,lind1,-0.006263,0.006263
tabe2,bros5,-0.006273,0.006273
conu1,gray8,0.006289,0.006289
humb1,cast2,-0.006302,0.006302
harv4,cast2,0.006311,0.006311
